79.16666667,59.16666667,31.66666667
65,65,55
59.16666667,12.5,50.83333333
50,57.5,50.83333333
65.83333333,65,42.5
75,61.66666667,77.5
53.33333333,20,22.5
75,62.5,76.66666667
70.83333333,45,62.5
55,46.66666667,56.66666667
79.16666667,50.83333333,35.83333333
63.33333333,61.66666667,62.5
85.83333333,78.33333333,66.66666667
59.16666667,62.5,67.5
83.33333333,46.66666667,58.33333333
59.16666667,53.33333333,68.33333333
86.66666667,62.5,71.66666667
79.16666667,39.16666667,63.33333333
73.33333333,77.5,74.16666667
31.66666667,51.66666667,47.5
73.33333333,60,42.5
42.5,45,42.5
75.83333333,56.66666667,47.5
61.66666667,24.16666667,56.66666667
53.33333333,59.16666667,57.5
55,60,53.33333333
